method,n_qubit,qubit_layout,placement,n_aods,skip_rus,trivial_return,decompose_move,parallel_execution,mean_fidelity,std_fidelity,n_samples,infidelity,code_distance,fidelity_target,factory_physical_size
raw,16,"(4, 4)",N/A,N/A,N/A,N/A,N/A,N/A,0.8726652374883167,,1,0.1273347625116833,,,
star,16,"(4, 4)",checkerboard,1,2,False,False,True,0.9993318710364159,0.0005784236345673694,10,0.000668128963584147,,,
star,16,"(4, 4)",col_based,1,0,False,False,False,0.99933651449439,0.0005386214289082686,10,0.0006634855056100175,,,
star,16,"(4, 4)",col_based,2,0,False,False,False,0.99933651449439,0.0005386214289082686,10,0.0006634855056100175,,,
star,16,"(4, 4)",col_based,3,0,False,False,False,0.99933651449439,0.0005386214289082686,10,0.0006634855056100175,,,
star,16,"(4, 4)",col_based,4,0,False,False,False,0.99933651449439,0.0005386214289082686,10,0.0006634855056100175,,,
star,16,"(4, 4)",col_based,5,0,False,False,False,0.99933651449439,0.0005386214289082686,10,0.0006634855056100175,,,
star,16,"(4, 4)",col_based,1,0,True,False,False,0.9993467680771084,0.0005175676475774244,10,0.0006532319228915728,,,
star,16,"(4, 4)",col_based,2,0,True,False,False,0.9993467680771084,0.0005175676475774244,10,0.0006532319228915728,,,
star,16,"(4, 4)",col_based,3,0,True,False,False,0.9993467680771084,0.0005175676475774244,10,0.0006532319228915728,,,
star,16,"(4, 4)",col_based,4,0,True,False,False,0.9993467680771084,0.0005175676475774244,10,0.0006532319228915728,,,
star,16,"(4, 4)",col_based,5,0,True,False,False,0.9993467680771084,0.0005175676475774244,10,0.0006532319228915728,,,
star,16,"(4, 4)",checkerboard,1,0,True,False,False,0.9993599559040881,0.0005206157745718048,10,0.0006400440959118958,,,
star,16,"(4, 4)",checkerboard,2,0,True,False,False,0.9993599559040881,0.0005206157745718048,10,0.0006400440959118958,,,
star,16,"(4, 4)",checkerboard,3,0,True,False,False,0.9993599559040881,0.0005206157745718048,10,0.0006400440959118958,,,
star,16,"(4, 4)",checkerboard,4,0,True,False,False,0.9993599559040881,0.0005206157745718048,10,0.0006400440959118958,,,
star,16,"(4, 4)",checkerboard,5,0,True,False,False,0.9993599559040881,0.0005206157745718048,10,0.0006400440959118958,,,
star,16,"(4, 4)",checkerboard,1,1,False,False,False,0.9993844478204187,0.00035528712878744504,10,0.0006155521795813135,,,
star,16,"(4, 4)",col_based,1,2,False,False,False,0.9993997051911038,0.0005159317508095021,10,0.000600294808896229,,,
star,16,"(4, 4)",col_based,1,2,False,True,False,0.9993997051911038,0.0005159317508095021,10,0.000600294808896229,,,
star,16,"(4, 4)",checkerboard,1,0,False,False,False,0.9994003612906497,0.00049805962656886,10,0.0005996387093503142,,,
star,16,"(4, 4)",checkerboard,2,0,False,False,False,0.9994003612906497,0.00049805962656886,10,0.0005996387093503142,,,
star,16,"(4, 4)",checkerboard,3,0,False,False,False,0.9994003612906497,0.00049805962656886,10,0.0005996387093503142,,,
star,16,"(4, 4)",checkerboard,4,0,False,False,False,0.9994003612906497,0.00049805962656886,10,0.0005996387093503142,,,
star,16,"(4, 4)",checkerboard,5,0,False,False,False,0.9994003612906497,0.00049805962656886,10,0.0005996387093503142,,,
star,16,"(4, 4)",checkerboard,1,0,False,False,True,0.9994016918206603,0.0004965999520755833,10,0.0005983081793397016,,,
star,16,"(4, 4)",checkerboard,2,0,False,False,True,0.9994016918206603,0.0004965999520755833,10,0.0005983081793397016,,,
star,16,"(4, 4)",checkerboard,3,0,False,False,True,0.9994016918206603,0.0004965999520755833,10,0.0005983081793397016,,,
star,16,"(4, 4)",checkerboard,4,0,False,False,True,0.9994016918206603,0.0004965999520755833,10,0.0005983081793397016,,,
star,16,"(4, 4)",checkerboard,5,0,False,False,True,0.9994016918206603,0.0004965999520755833,10,0.0005983081793397016,,,
star,16,"(4, 4)",checkerboard,2,2,False,False,True,0.9994102949370118,0.0004881666888104283,10,0.0005897050629881662,,,
star,16,"(4, 4)",checkerboard,3,2,False,False,True,0.9994102949370118,0.0004881666888104283,10,0.0005897050629881662,,,
star,16,"(4, 4)",checkerboard,4,2,False,False,True,0.9994102949370118,0.0004881666888104283,10,0.0005897050629881662,,,
star,16,"(4, 4)",checkerboard,5,2,False,False,True,0.9994102949370118,0.0004881666888104283,10,0.0005897050629881662,,,
star,16,"(4, 4)",checkerboard,1,2,False,False,False,0.9994120560191027,0.0004354728900439809,10,0.000587943980897343,,,
star,16,"(4, 4)",checkerboard,1,2,False,True,False,0.9994120560191027,0.0004354728900439809,10,0.000587943980897343,,,
star,16,"(4, 4)",col_based,3,2,False,False,False,0.999414916439951,0.0004848076649010307,10,0.0005850835600490489,,,
star,16,"(4, 4)",col_based,3,2,False,True,False,0.999414916439951,0.0004848076649010307,10,0.0005850835600490489,,,
star,16,"(4, 4)",col_based,4,2,False,False,False,0.999414916439951,0.0004848076649010307,10,0.0005850835600490489,,,
star,16,"(4, 4)",col_based,4,2,False,True,False,0.999414916439951,0.0004848076649010307,10,0.0005850835600490489,,,
star,16,"(4, 4)",col_based,5,2,False,False,False,0.999414916439951,0.0004848076649010307,10,0.0005850835600490489,,,
star,16,"(4, 4)",col_based,5,2,False,True,False,0.999414916439951,0.0004848076649010307,10,0.0005850835600490489,,,
star,16,"(4, 4)",checkerboard,2,2,False,False,False,0.9994196895002532,0.000471988453545614,10,0.0005803104997468278,,,
star,16,"(4, 4)",checkerboard,2,2,False,True,False,0.9994196895002532,0.000471988453545614,10,0.0005803104997468278,,,
star,16,"(4, 4)",col_based,2,2,False,False,False,0.9994215125808237,0.0004736262856138608,10,0.0005784874191763212,,,
star,16,"(4, 4)",col_based,2,2,False,True,False,0.9994215125808237,0.0004736262856138608,10,0.0005784874191763212,,,
star,16,"(4, 4)",checkerboard,3,2,False,False,False,0.999424342574296,0.00046790585410101855,10,0.0005756574257039793,,,
star,16,"(4, 4)",checkerboard,3,2,False,True,False,0.999424342574296,0.00046790585410101855,10,0.0005756574257039793,,,
star,16,"(4, 4)",checkerboard,4,2,False,False,False,0.999424342574296,0.00046790585410101855,10,0.0005756574257039793,,,
star,16,"(4, 4)",checkerboard,4,2,False,True,False,0.999424342574296,0.00046790585410101855,10,0.0005756574257039793,,,
star,16,"(4, 4)",checkerboard,5,2,False,False,False,0.999424342574296,0.00046790585410101855,10,0.0005756574257039793,,,
star,16,"(4, 4)",checkerboard,5,2,False,True,False,0.999424342574296,0.00046790585410101855,10,0.0005756574257039793,,,
star,16,"(4, 4)",col_based,1,2,False,False,True,0.9994249333885097,0.0004715750626755918,10,0.0005750666114903158,,,
star,16,"(4, 4)",col_based,2,1,False,False,False,0.9994291769984232,0.00040650387354699945,10,0.0005708230015768478,,,
star,16,"(4, 4)",col_based,3,1,False,False,False,0.9994291769984232,0.00040650387354699945,10,0.0005708230015768478,,,
star,16,"(4, 4)",col_based,4,1,False,False,False,0.9994291769984232,0.00040650387354699945,10,0.0005708230015768478,,,
star,16,"(4, 4)",col_based,5,1,False,False,False,0.9994291769984232,0.00040650387354699945,10,0.0005708230015768478,,,
star,16,"(4, 4)",checkerboard,2,1,False,False,False,0.9994304437429762,0.0003929385857624228,10,0.0005695562570238177,,,
star,16,"(4, 4)",checkerboard,3,1,False,False,False,0.9994304437429762,0.0003929385857624228,10,0.0005695562570238177,,,
star,16,"(4, 4)",checkerboard,4,1,False,False,False,0.9994304437429762,0.0003929385857624228,10,0.0005695562570238177,,,
star,16,"(4, 4)",checkerboard,5,1,False,False,False,0.9994304437429762,0.0003929385857624228,10,0.0005695562570238177,,,
star,16,"(4, 4)",col_based,1,0,False,False,True,0.9994382723639784,0.00044983571796970885,10,0.0005617276360215806,,,
star,16,"(4, 4)",col_based,2,0,False,False,True,0.9994382723639784,0.00044983571796970885,10,0.0005617276360215806,,,
star,16,"(4, 4)",col_based,3,0,False,False,True,0.9994382723639784,0.00044983571796970885,10,0.0005617276360215806,,,
star,16,"(4, 4)",col_based,4,0,False,False,True,0.9994382723639784,0.00044983571796970885,10,0.0005617276360215806,,,
star,16,"(4, 4)",col_based,5,0,False,False,True,0.9994382723639784,0.00044983571796970885,10,0.0005617276360215806,,,
star,16,"(4, 4)",col_based,3,2,False,False,True,0.9994419294701788,0.00046065859508672964,10,0.000558070529821153,,,
star,16,"(4, 4)",col_based,4,2,False,False,True,0.9994419294701788,0.00046065859508672964,10,0.000558070529821153,,,
star,16,"(4, 4)",col_based,5,2,False,False,True,0.9994419294701788,0.00046065859508672964,10,0.000558070529821153,,,
star,16,"(4, 4)",col_based,2,2,False,False,True,0.9994439186683117,0.000462739307162474,10,0.000556081331688274,,,
star,16,"(4, 4)",col_based,1,1,False,False,False,0.9994482704390097,0.0004792664909286769,10,0.000551729560990255,,,
