trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,trivial_return,decompose_move,redistribute_stage1_success,J,h,dt,n_trotter_steps,epsilon,total_depth,n_cnot,n_cnot_teleportation,n_h,n_s,n_t,n_se_q,n_rz_decomposition,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h,fidelity_idle,fidelity_synthesis,synthesis_epsilon
0,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,14416.0,128,3184,3280,1741,3184,19094,80,0.9825133796134411,0.9904934612512664,0.9974613659398225,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9961884819632987,0.999999200000312,0.0001
1,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,14326.0,128,3184,3280,1794,3184,18943,80,0.9824670256731581,0.9904934612512664,0.9973841853091409,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9962185673127498,0.999999200000312,0.0001
2,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,14277.0,128,3184,3280,1756,3184,18796,80,0.9825504210562291,0.9904934612512664,0.9974395217591567,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9962478565721086,0.999999200000312,0.0001
3,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,14474.0,128,3184,3280,1764,3184,19243,80,0.9824511098617777,0.9904934612512664,0.9974278717250743,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.99615879598589,0.999999200000312,0.0001
4,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,14681.0,128,3184,3280,1705,3184,19507,80,0.9824838653844034,0.9904934612512664,0.9975137939252844,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9961062001847422,0.999999200000312,0.0001
0,7,1e-08,2,"(4, 4)",col_based,16,16,1,False,True,False,1.0,1.0,0.00146,1,0.0001,13902.0,128,3184,3280,1741,3184,18475,80,0.9826350223115327,0.9904934612512664,0.9974613659398225,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9963118177440301,0.999999200000312,0.0001
1,7,1e-08,2,"(4, 4)",col_based,16,16,1,False,True,False,1.0,1.0,0.00146,1,0.0001,13834.0,128,3184,3280,1794,3184,18284,80,0.9825965233738063,0.9904934612512664,0.9973841853091409,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9963498775862134,0.999999200000312,0.0001
2,7,1e-08,2,"(4, 4)",col_based,16,16,1,False,True,False,1.0,1.0,0.00146,1,0.0001,13730.0,128,3184,3280,1756,3184,18147,80,0.9826779643910236,0.9904934612512664,0.9974395217591567,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9963771779496033,0.999999200000312,0.0001
3,7,1e-08,2,"(4, 4)",col_based,16,16,1,False,True,False,1.0,1.0,0.00146,1,0.0001,13953.5,128,3184,3280,1764,3184,18565,80,0.9825843392783521,0.9904934612512664,0.9974278717250743,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9962938842909185,0.999999200000312,0.0001
4,7,1e-08,2,"(4, 4)",col_based,16,16,1,False,True,False,1.0,1.0,0.00146,1,0.0001,14119.0,128,3184,3280,1705,3184,18736,80,0.9826353760927765,0.9904934612512664,0.9975137939252844,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9962598116193134,0.999999200000312,0.0001
0,7,1e-08,2,"(4, 4)",col_based,16,16,1,False,True,True,1.0,1.0,0.00146,1,0.0001,12751.5,128,3184,3280,1804,3184,16630,80,0.9829072695429218,0.9904934612512664,0.9973696235957059,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9966795246793162,0.999999200000312,0.0001
1,7,1e-08,2,"(4, 4)",col_based,16,16,1,False,True,True,1.0,1.0,0.00146,1,0.0001,12889.5,128,3184,3280,1722,3184,16946,80,0.982962825111473,0.9904934612512664,0.9974890359220938,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9966165365175027,0.999999200000312,0.0001
2,7,1e-08,2,"(4, 4)",col_based,16,16,1,False,True,True,1.0,1.0,0.00146,1,0.0001,12823.0,128,3184,3280,1673,3184,16875,80,0.9830471080099877,0.9904934612512664,0.9975603988924421,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9966306885742162,0.999999200000312,0.0001
3,7,1e-08,2,"(4, 4)",col_based,16,16,1,False,True,True,1.0,1.0,0.00146,1,0.0001,12890.0,128,3184,3280,1744,3184,16922,80,0.9829359709113451,0.9904934612512664,0.9974569970654182,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9966213202888375,0.999999200000312,0.0001
4,7,1e-08,2,"(4, 4)",col_based,16,16,1,False,True,True,1.0,1.0,0.00146,1,0.0001,12656.5,128,3184,3280,1707,3184,16625,80,0.9830474618763038,0.9904934612512664,0.9975108811871325,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.996680521359439,0.999999200000312,0.0001
0,7,1e-08,2,"(4, 4)",col_based,16,16,5,True,False,False,1.0,1.0,0.00146,1,0.0001,12141.5,128,3184,3280,1741,3184,16252,80,0.9830719990188866,0.9904934612512664,0.9974613659398225,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9967548765071825,0.999999200000312,0.0001
1,7,1e-08,2,"(4, 4)",col_based,16,16,5,True,False,False,1.0,1.0,0.00146,1,0.0001,12060.5,128,3184,3280,1794,3184,16171,80,0.9830118564598292,0.9904934612512664,0.9973841853091409,0.9986888600336292,0.9999681605065682,0.9996160731427869,0.9986888600336292,0.9967710240685921,0.999999200000312,0.0001
