trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,consider_skip_rus,trivial_return,decompose_move,parallel_execution,prepare_lookahead_angles,logical_se_interval,total_depth,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,fidelity_idle,n_cnot,n_cnot_teleportation,n_h,n_s,n_se_q,n_rz_seen
0,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,486.0,0.9991871711703771,0.9995303512711153,0.9999262442656947,0.9996040778038884,1.0,0.9998080181428767,0.9999744003225566,0.9998742078999061,64,132,64,0,629,27
1,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,435.0,0.9992895458006334,0.9996165671417098,0.9999764944287935,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9998904059948986,64,120,64,0,548,25
2,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,513.0,0.9991776003563847,0.9995311722411145,0.9999030675632696,0.9996280686256305,1.0,0.9998080181428767,0.9999744003225566,0.9998638092611769,64,124,64,0,681,29
3,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,415.0,0.9993005202033856,0.9996257458077357,0.9999766765556509,0.99964906106698,1.0,0.9998080181428767,0.9999744003225566,0.9998922057994293,64,117,64,0,539,21
4,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,468.0,0.9992619126767143,0.9996023195574227,0.9999682415148944,0.9996340664210323,1.0,0.9998080181428767,0.9999744003225566,0.9998770075518878,64,122,64,0,615,25
5,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,450.0,0.9992371817873682,0.9995691838260446,0.9999350936536008,0.9996340664210323,1.0,0.9998080181428767,0.9999744003225566,0.9998854065548671,64,122,64,0,573,26
6,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,416.0,0.9992864937898441,0.9996115149069094,0.9999714403748584,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9998924057779104,64,120,64,0,538,27
7,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,491.0,0.9988998147880889,0.99924549422878,0.9996277393248142,0.9996190720000029,0.99999854,0.9998080181428767,0.9999744003225566,0.9998716082300851,64,127,64,1,642,33
8,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,501.0,0.9991187202404223,0.999469872558851,0.9998387455480129,0.999631067518833,1.0,0.9998080181428767,0.9999744003225566,0.9998662089374387,64,123,64,0,669,35
9,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,415.0,0.9992867296741857,0.9996111511010425,0.9999800762316842,0.999631067518833,1.0,0.9998080181428767,0.9999744003225566,0.9998930057135939,64,123,64,0,535,22
0,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,False,10,435.0,0.9992037578167465,0.9995303512711153,0.9999262442656947,0.9996040778038884,1.0,0.9998080181428767,0.9999744003225566,0.9998908059511811,64,132,64,0,546,27
1,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,False,10,403.0,0.9993003381870864,0.9996165671417098,0.9999764944287935,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9999012048706774,64,120,64,0,494,25
