trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,trivial_return,decompose_move,redistribute_stage1_success,J,h,dt,n_trotter_steps,epsilon,total_depth,n_cnot,n_cnot_teleportation,n_h,n_s,n_t,n_se_q,n_rz_decomposition,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h,fidelity_idle,fidelity_synthesis,synthesis_epsilon
0,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,10980.0,64,2528,2624,1377,2528,14331,64,0.9863656477420508,0.9924446746740634,0.9979915980760141,0.9989509504276834,0.9999747203192831,0.9998080181428767,0.9989509504276834,0.997137903343794,0.9999993600001984,0.0001
1,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,10965.0,64,2528,2624,1409,2528,14264,64,0.986332782553887,0.9924446746740634,0.9979449729636864,0.9989509504276834,0.9999747203192831,0.9998080181428767,0.9989509504276834,0.9971512650825589,0.9999993600001984,0.0001
2,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,11000.0,64,2528,2624,1372,2528,14357,64,0.9863677191168295,0.9924446746740634,0.9979988834465899,0.9989509504276834,0.9999747203192831,0.9998080181428767,0.9989509504276834,0.9971327182396593,0.9999993600001984,0.0001
3,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,11118.0,64,2528,2624,1385,2528,14557,64,0.9863095448467194,0.9924446746740634,0.9979799415937133,0.9989509504276834,0.9999747203192831,0.9998080181428767,0.9989509504276834,0.9970928337246358,0.9999993600001984,0.0001
4,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,11013.0,64,2528,2624,1319,2528,14284,64,0.9864584494494189,0.9924446746740634,0.9980761116444886,0.9989509504276834,0.9999747203192831,0.9998080181428767,0.9989509504276834,0.9971472764850767,0.9999993600001984,0.0001
5,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,11151.0,64,2528,2624,1380,2528,14492,64,0.986329567140244,0.9924446746740634,0.9979872268791965,0.9989509504276834,0.9999747203192831,0.9998080181428767,0.9989509504276834,0.9971057960170254,0.9999993600001984,0.0001
6,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,11286.0,64,2528,2624,1438,2528,14819,64,0.9861815498388845,0.9924446746740634,0.9979027208371707,0.9989509504276834,0.9999747203192831,0.9998080181428767,0.9989509504276834,0.9970405874237874,0.9999993600001984,0.0001
7,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,11014.0,64,2528,2624,1383,2528,14327,64,0.9863577962965149,0.9924446746740634,0.9979828557015246,0.9989509504276834,0.9999747203192831,0.9998080181428767,0.9989509504276834,0.9971387010545156,0.9999993600001984,0.0001
8,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,11261.0,64,2528,2624,1352,2528,14762,64,0.9863166266053199,0.9924446746740634,0.9980280254607318,0.9989509504276834,0.9999747203192831,0.9998080181428767,0.9989509504276834,0.997051953752409,0.9999993600001984,0.0001
9,7,1e-08,2,"(4, 4)",col_based,16,16,1,True,False,False,1.0,1.0,0.00146,1,0.0001,11040.0,64,2528,2624,1347,2528,14446,64,0.9863861643901658,0.9924446746740634,0.9980353110972288,0.9989509504276834,0.9999747203192831,0.9998080181428767,0.9989509504276834,0.9971149694334641,0.9999993600001984,0.0001
