trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,tmr_assignment_method,consider_skip_rus,trivial_return,decompose_move,parallel_execution,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,n_cnot,n_h
0,7,"(4, 4)",1,col_based,1,matching,0,True,False,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,1,matching,0,True,False,False,0.9987762695287669,0.9991726631697783,0.9996883700784706,0.9994841323315067,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,1,matching,0,True,False,False,0.9991323490906736,0.9995288840522975,0.9999757740062644,0.9995530992194176,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,1,matching,0,True,False,False,0.9987373007391644,0.9991336789142694,0.9996238349436741,0.999511118807875,0.99999854,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,1,matching,0,True,False,False,0.9991267929184419,0.9995233256749357,0.9999642133314697,0.999559096565001,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,1,matching,0,False,False,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,1,matching,0,False,False,False,0.9987762695287669,0.9991726631697783,0.9996883700784706,0.9994841323315067,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,1,matching,0,False,False,False,0.9991323490906736,0.9995288840522975,0.9999757740062644,0.9995530992194176,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,1,matching,0,False,False,False,0.9987373007391644,0.9991336789142694,0.9996238349436741,0.999511118807875,0.99999854,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,1,matching,0,False,False,False,0.9989039671362328,0.999300411457783,0.9997921889652297,0.9995081202745186,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,1,matching,1,False,False,False,0.9986951942366769,0.999091555700582,0.9995952255142875,0.9994961262310488,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,1,matching,1,False,False,False,0.9990617862676302,0.9994582932243291,0.9999561481567226,0.9995021232347926,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,1,matching,1,False,False,False,0.9990979155065179,0.9994944368021645,0.9999383115308115,0.9995560978877113,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,1,matching,1,False,False,False,0.9990602729456424,0.9994567793017352,0.9999276350288857,0.9995291101969225,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,1,matching,1,False,False,False,0.9991230461104712,0.9995195773799346,0.9999544636293227,0.9995650939465686,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,1,matching,2,False,False,False,0.9986951942366769,0.999091555700582,0.9995952255142875,0.9994961262310488,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,1,matching,2,False,False,False,0.9990300368630245,0.9994265312190416,0.9999183707927709,0.9995081202745186,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,1,matching,2,False,False,False,0.9990979155065179,0.9994944368021645,0.9999383115308115,0.9995560978877113,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,1,matching,2,False,False,False,0.998719561449074,0.9991159325838217,0.9996120775706824,0.9995051217501578,0.99999854,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,1,matching,2,False,False,False,0.9991045288615424,0.9995010527818927,0.9999269315749354,0.9995740900863908,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,1,matching,2,False,True,False,0.9986951942366769,0.999091555700582,0.9995952255142875,0.9994961262310488,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,1,matching,2,False,True,False,0.9990300368630245,0.9994265312190416,0.9999183707927709,0.9995081202745186,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,1,matching,2,False,True,False,0.9990979155065179,0.9994944368021645,0.9999383115308115,0.9995560978877113,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,1,matching,2,False,True,False,0.998719561449074,0.9991159325838217,0.9996120775706824,0.9995051217501578,0.99999854,0.9996160731427869,0.9999872000793593,128,32
