n_qubits,qubit_cols,qubit_rows,round,code_distance,placement,n_aods,consider_skip_rus,tmr_assignment_method,trivial_return,decompose_move,parallel_execution,total_time,movement_time,return_movement_time,TMR_round,RUS_round,max_rus_per_qubit,avg_rus_per_qubit,initial_angle,largest_angle,tmr_total
16,4,4,0,7,col_based,1,0,matching,True,False,False,52.0,11.0,11.0,4.0,6.0,3,0.875,0.00146,0.02336,32
16,4,4,1,7,col_based,1,0,matching,True,False,False,39.0,8.0,8.0,3.0,5.0,3,0.875,0.00146,0.02336,20
16,4,4,2,7,col_based,1,0,matching,True,False,False,69.0,17.5,17.5,4.0,10.0,5,1.25,0.00146,0.04672,30
16,4,4,3,7,col_based,1,0,matching,True,False,False,63.0,15.5,15.5,4.0,8.0,5,1.125,0.00146,0.04672,26
16,4,4,4,7,col_based,1,0,matching,True,False,False,147.0,36.0,36.0,10.0,15.0,9,3.1875,0.00292,0.74752,99
16,4,4,5,7,col_based,1,0,matching,True,False,False,75.0,17.5,17.5,5.0,10.0,5,1.25,0.00146,0.09344,44
16,4,4,6,7,col_based,1,0,matching,True,False,False,65.0,13.0,13.0,5.0,9.0,6,1.25,0.00146,0.09344,46
16,4,4,7,7,col_based,1,0,matching,True,False,False,38.0,8.0,8.0,3.0,4.0,4,0.9375,0.00146,0.04672,21
16,4,4,8,7,col_based,1,0,matching,True,False,False,51.0,13.0,13.0,3.0,7.0,5,0.9375,0.00146,0.04672,21
16,4,4,0,7,col_based,1,0,matching,True,False,False,38.0,10.5,10.5,2.0,5.0,5,1.1875,0.00146,0.02336,10
16,4,4,1,7,col_based,1,0,matching,True,False,False,66.0,13.5,13.5,5.0,9.0,4,1.125,0.00146,0.02336,46
16,4,4,2,7,col_based,1,0,matching,True,False,False,50.0,9.5,9.5,4.0,7.0,5,1.0625,0.00146,0.09344,34
16,4,4,3,7,col_based,1,0,matching,True,False,False,45.0,10.5,10.5,3.0,6.0,4,0.75,0.00146,0.02336,23
16,4,4,4,7,col_based,1,0,matching,True,False,False,101.0,23.0,23.0,7.0,13.0,7,2.125,0.00292,0.37376,59
16,4,4,5,7,col_based,1,0,matching,True,False,False,53.0,10.5,10.5,4.0,8.0,4,1.0625,0.00146,0.04672,25
16,4,4,6,7,col_based,1,0,matching,True,False,False,46.0,11.0,11.0,3.0,6.0,3,0.8125,0.00146,0.02336,20
16,4,4,7,7,col_based,1,0,matching,True,False,False,122.0,26.0,26.0,9.0,16.0,9,1.625,0.00146,0.74752,83
16,4,4,8,7,col_based,1,0,matching,True,False,False,65.0,10.0,10.0,6.0,9.0,9,1.0,0.00146,0.74752,49
16,4,4,0,7,col_based,1,0,matching,True,False,False,50.0,9.0,9.0,4.0,8.0,6,1.1875,0.00146,0.18688,33
16,4,4,1,7,col_based,1,0,matching,True,False,False,54.0,14.5,14.5,3.0,7.0,3,1.0625,0.00146,0.01168,24
16,4,4,2,7,col_based,1,0,matching,True,False,False,41.0,8.5,8.5,3.0,6.0,2,0.8125,0.00146,0.00584,25
16,4,4,3,7,col_based,1,0,matching,True,False,False,31.0,8.0,8.0,2.0,3.0,2,0.5625,0.00146,0.00584,15
16,4,4,4,7,col_based,1,0,matching,True,False,False,55.0,12.0,12.0,4.0,7.0,5,1.8125,0.00292,0.18688,29
16,4,4,5,7,col_based,1,0,matching,True,False,False,58.0,13.5,13.5,4.0,7.0,4,1.0,0.00146,0.02336,33
16,4,4,6,7,col_based,1,0,matching,True,False,False,63.0,15.5,15.5,4.0,8.0,5,1.0,0.00146,0.02336,26
16,4,4,7,7,col_based,1,0,matching,True,False,False,50.0,13.0,13.0,3.0,6.0,5,1.0625,0.00146,0.09344,24
16,4,4,8,7,col_based,1,0,matching,True,False,False,52.0,14.5,14.5,3.0,5.0,3,0.8125,0.00146,0.02336,24
16,4,4,0,7,col_based,1,0,matching,True,False,False,38.0,7.5,7.5,3.0,5.0,3,0.8125,0.00146,0.02336,30
16,4,4,1,7,col_based,1,0,matching,True,False,False,49.0,9.0,9.0,4.0,7.0,5,1.0,0.00146,0.02336,27
16,4,4,2,7,col_based,1,0,matching,True,False,False,80.0,19.5,19.5,5.0,11.0,6,1.375,0.00146,0.18688,50
16,4,4,3,7,col_based,1,0,matching,True,False,False,34.0,5.5,5.5,3.0,5.0,2,0.625,0.00146,0.00584,22
16,4,4,4,7,col_based,1,0,matching,True,False,False,86.0,20.0,20.0,6.0,10.0,6,1.875,0.00292,0.37376,61
16,4,4,5,7,col_based,1,0,matching,True,False,False,94.0,21.0,21.0,7.0,10.0,7,1.25,0.00146,0.37376,71
16,4,4,6,7,col_based,1,0,matching,True,False,False,25.0,4.5,4.5,2.0,4.0,2,0.625,0.00146,0.00584,13
16,4,4,7,7,col_based,1,0,matching,True,False,False,32.0,5.5,5.5,3.0,3.0,3,1.125,0.00146,0.02336,19
16,4,4,8,7,col_based,1,0,matching,True,False,False,117.0,30.0,30.0,7.0,14.0,11,1.5,0.00146,0.74752,78
16,4,4,0,7,col_based,1,0,matching,True,False,False,32.0,5.0,5.0,3.0,4.0,2,0.5625,0.00146,0.00584,27
16,4,4,1,7,col_based,1,0,matching,True,False,False,43.0,6.5,6.5,4.0,6.0,5,0.875,0.00146,0.09344,32
16,4,4,2,7,col_based,1,0,matching,True,False,False,46.0,7.5,7.5,4.0,7.0,7,1.0625,0.00146,0.37376,29
16,4,4,3,7,col_based,1,0,matching,True,False,False,52.0,14.0,14.0,3.0,6.0,4,0.9375,0.00146,0.02336,18
16,4,4,4,7,col_based,1,0,matching,True,False,False,80.0,21.0,21.0,5.0,8.0,5,1.8125,0.00292,0.18688,46
16,4,4,5,7,col_based,1,0,matching,True,False,False,57.0,12.5,12.5,4.0,8.0,4,1.0625,0.00146,0.04672,29
16,4,4,6,7,col_based,1,0,matching,True,False,False,36.0,4.0,4.0,4.0,4.0,1,0.5,0.00146,0.00584,33
16,4,4,7,7,col_based,1,0,matching,True,False,False,63.0,16.0,16.0,4.0,7.0,5,1.125,0.00146,0.04672,34
16,4,4,8,7,col_based,1,0,matching,True,False,False,73.0,16.5,16.5,5.0,10.0,4,1.25,0.00146,0.01168,35
16,4,4,0,7,col_based,1,0,matching,False,False,False,49.5,11.0,8.5,4.0,6.0,3,0.875,0.00146,0.02336,32
16,4,4,1,7,col_based,1,0,matching,False,False,False,38.0,8.0,7.0,3.0,5.0,3,0.875,0.00146,0.02336,20
16,4,4,2,7,col_based,1,0,matching,False,False,False,67.0,17.5,15.5,4.0,10.0,5,1.25,0.00146,0.04672,30
16,4,4,3,7,col_based,1,0,matching,False,False,False,59.0,15.5,11.5,4.0,8.0,5,1.125,0.00146,0.04672,26
16,4,4,4,7,col_based,1,0,matching,False,False,False,138.5,36.0,27.5,10.0,15.0,9,3.1875,0.00292,0.74752,99
16,4,4,5,7,col_based,1,0,matching,False,False,False,74.0,17.5,16.5,5.0,10.0,5,1.25,0.00146,0.09344,44
16,4,4,6,7,col_based,1,0,matching,False,False,False,64.0,13.0,12.0,5.0,9.0,6,1.25,0.00146,0.09344,46
16,4,4,7,7,col_based,1,0,matching,False,False,False,35.5,8.0,5.5,3.0,4.0,4,0.9375,0.00146,0.04672,21
16,4,4,8,7,col_based,1,0,matching,False,False,False,47.5,13.0,9.5,3.0,7.0,5,0.9375,0.00146,0.04672,21
16,4,4,0,7,col_based,1,0,matching,False,False,False,36.0,10.5,8.5,2.0,5.0,5,1.1875,0.00146,0.02336,10
16,4,4,1,7,col_based,1,0,matching,False,False,False,65.0,13.5,12.5,5.0,9.0,4,1.125,0.00146,0.02336,46
16,4,4,2,7,col_based,1,0,matching,False,False,False,48.0,9.5,7.5,4.0,7.0,5,1.0625,0.00146,0.09344,34
16,4,4,3,7,col_based,1,0,matching,False,False,False,43.5,10.5,9.0,3.0,6.0,4,0.75,0.00146,0.02336,23
16,4,4,4,7,col_based,1,0,matching,False,False,False,96.5,23.0,18.5,7.0,13.0,7,2.125,0.00292,0.37376,59
16,4,4,5,7,col_based,1,0,matching,False,False,False,51.5,10.5,9.0,4.0,8.0,4,1.0625,0.00146,0.04672,25
16,4,4,6,7,col_based,1,0,matching,False,False,False,45.0,11.0,10.0,3.0,6.0,3,0.8125,0.00146,0.02336,20
16,4,4,7,7,col_based,1,0,matching,False,False,False,120.0,26.0,24.0,9.0,16.0,9,1.625,0.00146,0.74752,83
16,4,4,8,7,col_based,1,0,matching,False,False,False,63.0,10.0,8.0,6.0,9.0,9,1.0,0.00146,0.74752,49
16,4,4,0,7,col_based,1,0,matching,False,False,False,48.0,9.0,7.0,4.0,8.0,6,1.1875,0.00146,0.18688,33
16,4,4,1,7,col_based,1,0,matching,False,False,False,53.0,14.5,13.5,3.0,7.0,3,1.0625,0.00146,0.01168,24
16,4,4,2,7,col_based,1,0,matching,False,False,False,39.0,8.5,6.5,3.0,6.0,2,0.8125,0.00146,0.00584,25
16,4,4,3,7,col_based,1,0,matching,False,False,False,29.5,8.0,6.5,2.0,3.0,2,0.5625,0.00146,0.00584,15
16,4,4,4,7,col_based,1,0,matching,False,False,False,51.0,12.0,8.0,4.0,7.0,5,1.8125,0.00292,0.18688,29
16,4,4,5,7,col_based,1,0,matching,False,False,False,55.5,13.5,11.0,4.0,7.0,4,1.0,0.00146,0.02336,33
