n_qubits,qubit_cols,qubit_rows,round,code_distance,placement,n_aods,total_time,movement_time,return_movement_time,TMR_round,RUS_round,max_rus_per_qubit,avg_rus_per_qubit,initial_angle,largest_angle,tmr_total,rus_total,trial,fidelity_target,factory_physical_size
16,4,4,0,7,col_based,1,1268.0,258.5,201.0,0.0,78.0,40,20.0,,,0,159,0,1e-08,2
16,4,4,1,7,col_based,1,1299.0,256.0,206.0,0.0,83.0,40,20.0,,,0,155,0,1e-08,2
16,4,4,2,7,col_based,1,1053.5,169.5,113.0,0.0,75.0,40,20.0,,,0,156,0,1e-08,2
16,4,4,3,7,col_based,1,1411.0,299.0,245.0,0.0,83.0,40,20.0,,,0,175,0,1e-08,2
16,4,4,4,7,col_based,1,2005.0,346.0,204.5,0.0,119.0,39,39.0,,,0,324,0,1e-08,2
16,4,4,5,7,col_based,1,1277.5,237.0,189.5,0.0,80.0,40,20.0,,,0,160,0,1e-08,2
16,4,4,6,7,col_based,1,1281.0,247.5,198.0,0.0,77.0,40,20.0,,,0,155,0,1e-08,2
16,4,4,7,7,col_based,1,1115.5,183.0,124.5,0.0,77.0,40,20.0,,,0,158,0,1e-08,2
16,4,4,8,7,col_based,1,1392.0,308.0,251.5,0.0,78.0,40,20.0,,,0,169,0,1e-08,2
16,4,4,0,7,col_based,1,1302.5,244.0,194.0,0.0,81.0,40,20.0,,,0,169,1,1e-08,2
16,4,4,1,7,col_based,1,1183.5,230.0,174.5,0.0,73.0,40,20.0,,,0,153,1,1e-08,2
16,4,4,2,7,col_based,1,1046.5,169.5,116.5,0.0,72.0,40,20.0,,,0,166,1,1e-08,2
16,4,4,3,7,col_based,1,1380.5,308.0,239.5,0.0,78.0,40,20.0,,,0,171,1,1e-08,2
16,4,4,4,7,col_based,1,2066.5,352.5,212.0,0.0,123.0,39,39.0,,,0,322,1,1e-08,2
16,4,4,5,7,col_based,1,1365.0,251.5,198.0,0.0,86.0,40,20.0,,,0,178,1,1e-08,2
16,4,4,6,7,col_based,1,1197.0,252.0,188.0,0.0,76.0,40,20.0,,,0,163,1,1e-08,2
16,4,4,7,7,col_based,1,1143.0,173.0,123.0,0.0,80.0,40,20.0,,,0,166,1,1e-08,2
16,4,4,8,7,col_based,1,1383.0,296.5,238.0,0.0,80.0,40,20.0,,,0,160,1,1e-08,2
16,4,4,0,7,col_based,1,1239.0,228.0,177.0,0.0,82.0,40,20.0,,,0,158,2,1e-08,2
16,4,4,1,7,col_based,1,1291.0,250.0,197.5,0.0,81.0,40,20.0,,,0,167,2,1e-08,2
16,4,4,2,7,col_based,1,1177.0,182.0,125.5,0.0,83.0,40,20.0,,,0,163,2,1e-08,2
16,4,4,3,7,col_based,1,1250.5,283.0,227.5,0.0,74.0,40,20.0,,,0,166,2,1e-08,2
16,4,4,4,7,col_based,1,2064.0,370.0,216.5,0.0,117.0,39,39.0,,,0,324,2,1e-08,2
16,4,4,5,7,col_based,1,1283.5,257.0,197.5,0.0,81.0,40,20.0,,,0,143,2,1e-08,2
16,4,4,6,7,col_based,1,1279.5,249.0,199.0,0.0,79.0,40,20.0,,,0,160,2,1e-08,2
16,4,4,7,7,col_based,1,1080.5,182.0,128.5,0.0,69.0,40,20.0,,,0,160,2,1e-08,2
16,4,4,8,7,col_based,1,1447.0,320.0,260.5,0.0,80.0,40,20.0,,,0,157,2,1e-08,2
16,4,4,0,7,col_based,1,1200.5,263.0,195.5,0.0,73.0,40,20.0,,,0,161,3,1e-08,2
16,4,4,1,7,col_based,1,1270.5,260.5,204.0,0.0,78.0,40,20.0,,,0,155,3,1e-08,2
16,4,4,2,7,col_based,1,1133.5,180.0,131.0,0.0,81.0,40,20.0,,,0,164,3,1e-08,2
16,4,4,3,7,col_based,1,1421.0,308.5,244.0,0.0,81.0,40,20.0,,,0,143,3,1e-08,2
16,4,4,4,7,col_based,1,1982.5,345.0,202.5,0.0,116.0,39,39.0,,,0,317,3,1e-08,2
16,4,4,5,7,col_based,1,1285.5,230.5,180.5,0.0,82.0,40,20.0,,,0,147,3,1e-08,2
16,4,4,6,7,col_based,1,1332.5,257.0,206.5,0.0,83.0,40,20.0,,,0,160,3,1e-08,2
16,4,4,7,7,col_based,1,1145.5,184.0,130.0,0.0,79.0,40,20.0,,,0,172,3,1e-08,2
16,4,4,8,7,col_based,1,1399.5,308.5,246.0,0.0,77.0,40,20.0,,,0,139,3,1e-08,2
16,4,4,0,7,col_based,1,1210.5,251.5,192.0,0.0,76.0,40,20.0,,,0,145,4,1e-08,2
16,4,4,1,7,col_based,1,1209.5,240.0,183.5,0.0,78.0,40,20.0,,,0,162,4,1e-08,2
16,4,4,2,7,col_based,1,1122.0,191.5,129.5,0.0,79.0,40,20.0,,,0,166,4,1e-08,2
16,4,4,3,7,col_based,1,1366.0,309.5,245.0,0.0,77.0,40,20.0,,,0,165,4,1e-08,2
16,4,4,4,7,col_based,1,2118.0,376.0,225.0,0.0,124.0,39,39.0,,,0,319,4,1e-08,2
16,4,4,5,7,col_based,1,1311.0,266.5,211.5,0.0,77.0,40,20.0,,,0,173,4,1e-08,2
16,4,4,6,7,col_based,1,1267.0,239.5,185.5,0.0,79.0,40,20.0,,,0,150,4,1e-08,2
16,4,4,7,7,col_based,1,1103.0,181.0,129.5,0.0,77.0,40,20.0,,,0,153,4,1e-08,2
16,4,4,8,7,col_based,1,1345.5,279.5,223.5,0.0,80.0,40,20.0,,,0,163,4,1e-08,2
16,4,4,0,7,col_based,2,1091.0,241.0,180.5,0.0,78.0,40,20.0,,,0,159,0,1e-08,2
16,4,4,1,7,col_based,2,1124.5,235.0,179.5,0.0,83.0,40,20.0,,,0,155,0,1e-08,2
16,4,4,2,7,col_based,2,945.0,143.5,102.0,0.0,75.0,40,20.0,,,0,156,0,1e-08,2
16,4,4,3,7,col_based,2,1223.5,282.5,239.0,0.0,83.0,40,20.0,,,0,175,0,1e-08,2
16,4,4,4,7,col_based,2,1801.5,297.0,192.0,0.0,119.0,39,39.0,,,0,324,0,1e-08,2
16,4,4,5,7,col_based,2,1111.0,209.0,165.5,0.0,80.0,40,20.0,,,0,160,0,1e-08,2
16,4,4,6,7,col_based,2,1107.0,223.5,175.0,0.0,77.0,40,20.0,,,0,155,0,1e-08,2
16,4,4,7,7,col_based,2,1000.0,166.0,117.0,0.0,77.0,40,20.0,,,0,158,0,1e-08,2
16,4,4,8,7,col_based,2,1181.0,297.5,236.5,0.0,78.0,40,20.0,,,0,169,0,1e-08,2
16,4,4,0,7,col_based,2,1136.5,222.0,174.0,0.0,81.0,40,20.0,,,0,169,1,1e-08,2
16,4,4,1,7,col_based,2,1017.0,198.0,152.5,0.0,73.0,40,20.0,,,0,153,1,1e-08,2
16,4,4,2,7,col_based,2,938.0,152.0,105.0,0.0,72.0,40,20.0,,,0,166,1,1e-08,2
16,4,4,3,7,col_based,2,1176.5,297.0,231.5,0.0,78.0,40,20.0,,,0,171,1,1e-08,2
16,4,4,4,7,col_based,2,1863.5,301.0,193.5,0.0,123.0,39,39.0,,,0,322,1,1e-08,2
16,4,4,5,7,col_based,2,1195.0,230.5,184.5,0.0,86.0,40,20.0,,,0,178,1,1e-08,2
16,4,4,6,7,col_based,2,1027.5,216.5,160.0,0.0,76.0,40,20.0,,,0,163,1,1e-08,2
16,4,4,7,7,col_based,2,1037.5,152.5,114.0,0.0,80.0,40,20.0,,,0,166,1,1e-08,2
16,4,4,8,7,col_based,2,1194.0,275.5,228.0,0.0,80.0,40,20.0,,,0,160,1,1e-08,2
16,4,4,0,7,col_based,2,1094.0,204.5,156.0,0.0,82.0,40,20.0,,,0,158,2,1e-08,2
16,4,4,1,7,col_based,2,1129.5,227.0,177.0,0.0,81.0,40,20.0,,,0,167,2,1e-08,2
16,4,4,2,7,col_based,2,1063.5,162.5,113.5,0.0,83.0,40,20.0,,,0,163,2,1e-08,2
16,4,4,3,7,col_based,2,1060.5,273.5,220.5,0.0,74.0,40,20.0,,,0,166,2,1e-08,2
16,4,4,4,7,col_based,2,1848.0,314.0,197.0,0.0,117.0,39,39.0,,,0,324,2,1e-08,2
16,4,4,5,7,col_based,2,1110.0,231.0,180.0,0.0,81.0,40,20.0,,,0,143,2,1e-08,2
16,4,4,6,7,col_based,2,1100.0,232.0,187.0,0.0,79.0,40,20.0,,,0,160,2,1e-08,2
16,4,4,7,7,col_based,2,951.0,156.0,111.0,0.0,69.0,40,20.0,,,0,160,2,1e-08,2
16,4,4,8,7,col_based,2,1232.0,297.5,250.5,0.0,80.0,40,20.0,,,0,157,2,1e-08,2
16,4,4,0,7,col_based,2,1024.5,232.5,179.5,0.0,73.0,40,20.0,,,0,161,3,1e-08,2
16,4,4,1,7,col_based,2,1095.0,223.0,180.0,0.0,78.0,40,20.0,,,0,155,3,1e-08,2
16,4,4,2,7,col_based,2,1017.0,156.0,115.0,0.0,81.0,40,20.0,,,0,164,3,1e-08,2
16,4,4,3,7,col_based,2,1228.0,294.5,240.0,0.0,81.0,40,20.0,,,0,143,3,1e-08,2
16,4,4,4,7,col_based,2,1778.0,299.5,189.0,0.0,116.0,39,39.0,,,0,317,3,1e-08,2
16,4,4,5,7,col_based,2,1131.0,204.5,161.5,0.0,82.0,40,20.0,,,0,147,3,1e-08,2
16,4,4,6,7,col_based,2,1152.5,234.5,194.0,0.0,83.0,40,20.0,,,0,160,3,1e-08,2
16,4,4,7,7,col_based,2,1028.5,169.0,119.5,0.0,79.0,40,20.0,,,0,172,3,1e-08,2
16,4,4,8,7,col_based,2,1186.5,296.0,236.5,0.0,77.0,40,20.0,,,0,139,3,1e-08,2
16,4,4,0,7,col_based,2,1039.5,231.5,178.5,0.0,76.0,40,20.0,,,0,145,4,1e-08,2
16,4,4,1,7,col_based,2,1051.5,206.5,167.5,0.0,78.0,40,20.0,,,0,162,4,1e-08,2
16,4,4,2,7,col_based,2,1008.5,174.0,117.5,0.0,79.0,40,20.0,,,0,166,4,1e-08,2
16,4,4,3,7,col_based,2,1164.0,306.5,240.5,0.0,77.0,40,20.0,,,0,165,4,1e-08,2
16,4,4,4,7,col_based,2,1896.0,327.0,203.5,0.0,124.0,39,39.0,,,0,319,4,1e-08,2
16,4,4,5,7,col_based,2,1118.0,245.0,195.5,0.0,77.0,40,20.0,,,0,173,4,1e-08,2
16,4,4,6,7,col_based,2,1099.5,208.0,165.0,0.0,79.0,40,20.0,,,0,150,4,1e-08,2
16,4,4,7,7,col_based,2,983.5,160.5,114.5,0.0,77.0,40,20.0,,,0,153,4,1e-08,2
16,4,4,8,7,col_based,2,1170.5,267.5,213.5,0.0,80.0,40,20.0,,,0,163,4,1e-08,2
16,4,4,0,7,col_based,3,1064.5,230.0,171.5,0.0,78.0,40,20.0,,,0,159,0,1e-08,2
16,4,4,1,7,col_based,3,1094.0,219.5,173.0,0.0,83.0,40,20.0,,,0,155,0,1e-08,2
16,4,4,2,7,col_based,3,928.0,137.5,99.0,0.0,75.0,40,20.0,,,0,156,0,1e-08,2
16,4,4,3,7,col_based,3,1208.0,270.5,230.0,0.0,83.0,40,20.0,,,0,175,0,1e-08,2
16,4,4,4,7,col_based,3,1760.5,273.5,187.0,0.0,119.0,39,39.0,,,0,324,0,1e-08,2
16,4,4,5,7,col_based,3,1087.5,197.5,160.5,0.0,80.0,40,20.0,,,0,160,0,1e-08,2
16,4,4,6,7,col_based,3,1074.5,208.5,167.0,0.0,77.0,40,20.0,,,0,155,0,1e-08,2
16,4,4,7,7,col_based,3,986.0,147.0,109.5,0.0,77.0,40,20.0,,,0,158,0,1e-08,2
16,4,4,8,7,col_based,3,1159.0,283.5,231.5,0.0,78.0,40,20.0,,,0,169,0,1e-08,2
16,4,4,0,7,col_based,3,1106.0,212.5,170.0,0.0,81.0,40,20.0,,,0,169,1,1e-08,2
16,4,4,1,7,col_based,3,986.0,192.0,143.5,0.0,73.0,40,20.0,,,0,153,1,1e-08,2
16,4,4,2,7,col_based,3,925.0,139.5,101.0,0.0,72.0,40,20.0,,,0,166,1,1e-08,2
16,4,4,3,7,col_based,3,1152.5,277.5,228.0,0.0,78.0,40,20.0,,,0,171,1,1e-08,2
16,4,4,4,7,col_based,3,1820.0,280.0,188.0,0.0,123.0,39,39.0,,,0,322,1,1e-08,2
16,4,4,5,7,col_based,3,1174.5,214.5,181.0,0.0,86.0,40,20.0,,,0,178,1,1e-08,2
16,4,4,6,7,col_based,3,991.0,204.5,154.0,0.0,76.0,40,20.0,,,0,163,1,1e-08,2
16,4,4,7,7,col_based,3,1025.0,140.0,111.0,0.0,80.0,40,20.0,,,0,166,1,1e-08,2
16,4,4,8,7,col_based,3,1168.0,259.5,220.0,0.0,80.0,40,20.0,,,0,160,1,1e-08,2
16,4,4,0,7,col_based,3,1068.5,193.0,150.0,0.0,82.0,40,20.0,,,0,158,2,1e-08,2
16,4,4,1,7,col_based,3,1106.0,214.5,171.0,0.0,81.0,40,20.0,,,0,167,2,1e-08,2
16,4,4,2,7,col_based,3,1049.5,148.5,109.5,0.0,83.0,40,20.0,,,0,163,2,1e-08,2
16,4,4,3,7,col_based,3,1042.5,251.5,212.5,0.0,74.0,40,20.0,,,0,166,2,1e-08,2
16,4,4,4,7,col_based,3,1804.5,287.5,191.5,0.0,117.0,39,39.0,,,0,324,2,1e-08,2
16,4,4,5,7,col_based,3,1086.5,219.0,175.0,0.0,81.0,40,20.0,,,0,143,2,1e-08,2
16,4,4,6,7,col_based,3,1072.0,214.5,176.0,0.0,79.0,40,20.0,,,0,160,2,1e-08,2
16,4,4,7,7,col_based,3,933.0,144.5,108.0,0.0,69.0,40,20.0,,,0,160,2,1e-08,2
16,4,4,8,7,col_based,3,1203.5,283.5,245.0,0.0,80.0,40,20.0,,,0,157,2,1e-08,2
16,4,4,0,7,col_based,3,989.5,223.5,164.5,0.0,73.0,40,20.0,,,0,161,3,1e-08,2
16,4,4,1,7,col_based,3,1055.0,215.0,166.0,0.0,78.0,40,20.0,,,0,155,3,1e-08,2
16,4,4,2,7,col_based,3,1002.0,144.5,110.5,0.0,81.0,40,20.0,,,0,164,3,1e-08,2
16,4,4,3,7,col_based,3,1210.5,281.0,230.5,0.0,81.0,40,20.0,,,0,143,3,1e-08,2
16,4,4,4,7,col_based,3,1737.5,273.0,183.5,0.0,116.0,39,39.0,,,0,317,3,1e-08,2
16,4,4,5,7,col_based,3,1107.0,190.0,157.0,0.0,82.0,40,20.0,,,0,147,3,1e-08,2
16,4,4,6,7,col_based,3,1128.5,227.0,186.5,0.0,83.0,40,20.0,,,0,160,3,1e-08,2
16,4,4,7,7,col_based,3,1011.5,156.5,113.0,0.0,79.0,40,20.0,,,0,172,3,1e-08,2
16,4,4,8,7,col_based,3,1160.5,272.5,227.0,0.0,77.0,40,20.0,,,0,139,3,1e-08,2
16,4,4,0,7,col_based,3,1009.0,215.5,168.5,0.0,76.0,40,20.0,,,0,145,4,1e-08,2
16,4,4,1,7,col_based,3,1020.0,198.0,160.0,0.0,78.0,40,20.0,,,0,162,4,1e-08,2
16,4,4,2,7,col_based,3,996.0,161.0,110.5,0.0,79.0,40,20.0,,,0,166,4,1e-08,2
16,4,4,3,7,col_based,3,1144.0,289.0,235.5,0.0,77.0,40,20.0,,,0,165,4,1e-08,2
16,4,4,4,7,col_based,3,1853.5,302.0,197.0,0.0,124.0,39,39.0,,,0,319,4,1e-08,2
16,4,4,5,7,col_based,3,1086.0,234.0,193.0,0.0,77.0,40,20.0,,,0,173,4,1e-08,2
16,4,4,6,7,col_based,3,1070.5,197.5,156.5,0.0,79.0,40,20.0,,,0,150,4,1e-08,2
16,4,4,7,7,col_based,3,968.0,145.5,110.5,0.0,77.0,40,20.0,,,0,153,4,1e-08,2
16,4,4,8,7,col_based,3,1149.0,256.0,209.0,0.0,80.0,40,20.0,,,0,163,4,1e-08,2
16,4,4,0,7,col_based,4,1063.0,226.5,171.5,0.0,78.0,40,20.0,,,0,159,0,1e-08,2
16,4,4,1,7,col_based,4,1092.0,216.0,172.0,0.0,83.0,40,20.0,,,0,155,0,1e-08,2
16,4,4,2,7,col_based,4,926.5,128.5,99.0,0.0,75.0,40,20.0,,,0,156,0,1e-08,2
16,4,4,3,7,col_based,4,1206.0,263.0,230.0,0.0,83.0,40,20.0,,,0,175,0,1e-08,2
16,4,4,4,7,col_based,4,1752.5,252.0,187.0,0.0,119.0,39,39.0,,,0,324,0,1e-08,2
16,4,4,5,7,col_based,4,1086.5,193.0,160.5,0.0,80.0,40,20.0,,,0,160,0,1e-08,2
16,4,4,6,7,col_based,4,1069.0,206.0,164.5,0.0,77.0,40,20.0,,,0,155,0,1e-08,2
16,4,4,7,7,col_based,4,983.5,141.5,109.5,0.0,77.0,40,20.0,,,0,158,0,1e-08,2
16,4,4,8,7,col_based,4,1158.0,278.5,230.0,0.0,78.0,40,20.0,,,0,169,0,1e-08,2
16,4,4,0,7,col_based,4,1104.5,209.0,169.0,0.0,81.0,40,20.0,,,0,169,1,1e-08,2
16,4,4,1,7,col_based,4,983.0,182.5,142.5,0.0,73.0,40,20.0,,,0,153,1,1e-08,2
16,4,4,2,7,col_based,4,923.5,131.5,100.5,0.0,72.0,40,20.0,,,0,166,1,1e-08,2
16,4,4,3,7,col_based,4,1151.5,272.5,228.0,0.0,78.0,40,20.0,,,0,171,1,1e-08,2
16,4,4,4,7,col_based,4,1814.0,266.0,188.0,0.0,123.0,39,39.0,,,0,322,1,1e-08,2
16,4,4,5,7,col_based,4,1173.5,212.0,181.0,0.0,86.0,40,20.0,,,0,178,1,1e-08,2
16,4,4,6,7,col_based,4,988.5,198.5,153.0,0.0,76.0,40,20.0,,,0,163,1,1e-08,2
16,4,4,7,7,col_based,4,1023.0,132.0,110.0,0.0,80.0,40,20.0,,,0,166,1,1e-08,2
16,4,4,8,7,col_based,4,1164.5,253.5,220.0,0.0,80.0,40,20.0,,,0,160,1,1e-08,2
16,4,4,0,7,col_based,4,1066.5,189.5,150.0,0.0,82.0,40,20.0,,,0,158,2,1e-08,2
16,4,4,1,7,col_based,4,1103.0,210.5,170.0,0.0,81.0,40,20.0,,,0,167,2,1e-08,2
16,4,4,2,7,col_based,4,1047.5,140.5,109.0,0.0,83.0,40,20.0,,,0,163,2,1e-08,2
16,4,4,3,7,col_based,4,1041.5,249.5,212.0,0.0,74.0,40,20.0,,,0,166,2,1e-08,2
16,4,4,4,7,col_based,4,1791.0,270.0,189.5,0.0,117.0,39,39.0,,,0,324,2,1e-08,2
16,4,4,5,7,col_based,4,1085.0,213.5,174.5,0.0,81.0,40,20.0,,,0,143,2,1e-08,2
16,4,4,6,7,col_based,4,1071.0,211.5,175.0,0.0,79.0,40,20.0,,,0,160,2,1e-08,2
16,4,4,7,7,col_based,4,929.5,135.0,106.0,0.0,69.0,40,20.0,,,0,160,2,1e-08,2
16,4,4,8,7,col_based,4,1201.5,273.5,241.5,0.0,80.0,40,20.0,,,0,157,2,1e-08,2
16,4,4,0,7,col_based,4,986.0,213.5,163.5,0.0,73.0,40,20.0,,,0,161,3,1e-08,2
16,4,4,1,7,col_based,4,1051.0,211.5,166.0,0.0,78.0,40,20.0,,,0,155,3,1e-08,2
16,4,4,2,7,col_based,4,1000.5,137.0,110.0,0.0,81.0,40,20.0,,,0,164,3,1e-08,2
16,4,4,3,7,col_based,4,1207.5,273.0,230.5,0.0,81.0,40,20.0,,,0,143,3,1e-08,2
16,4,4,4,7,col_based,4,1729.0,254.5,181.0,0.0,116.0,39,39.0,,,0,317,3,1e-08,2
16,4,4,5,7,col_based,4,1106.0,189.0,156.5,0.0,82.0,40,20.0,,,0,147,3,1e-08,2
16,4,4,6,7,col_based,4,1127.0,222.5,186.5,0.0,83.0,40,20.0,,,0,160,3,1e-08,2
16,4,4,7,7,col_based,4,1010.0,149.0,112.5,0.0,79.0,40,20.0,,,0,172,3,1e-08,2
16,4,4,8,7,col_based,4,1158.5,267.0,227.0,0.0,77.0,40,20.0,,,0,139,3,1e-08,2
16,4,4,0,7,col_based,4,1005.0,211.0,165.0,0.0,76.0,40,20.0,,,0,145,4,1e-08,2
16,4,4,1,7,col_based,4,1018.5,189.5,159.0,0.0,78.0,40,20.0,,,0,162,4,1e-08,2
16,4,4,2,7,col_based,4,995.0,152.5,110.0,0.0,79.0,40,20.0,,,0,166,4,1e-08,2
16,4,4,3,7,col_based,4,1142.5,285.5,234.0,0.0,77.0,40,20.0,,,0,165,4,1e-08,2
16,4,4,4,7,col_based,4,1846.5,280.0,196.0,0.0,124.0,39,39.0,,,0,319,4,1e-08,2
16,4,4,5,7,col_based,4,1085.5,227.5,192.0,0.0,77.0,40,20.0,,,0,173,4,1e-08,2
16,4,4,6,7,col_based,4,1067.0,194.0,156.0,0.0,79.0,40,20.0,,,0,150,4,1e-08,2
16,4,4,7,7,col_based,4,966.0,138.0,109.5,0.0,77.0,40,20.0,,,0,153,4,1e-08,2
