trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,J,h,dt,n_trotter_steps,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h
0,7,1e-08,2,"(4, 4)",col_based,16,16,1,1.0,1.0,0.00146,1,0.9873601457149053,0.9904934612512641,0.9974103969290848,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
1,7,1e-08,2,"(4, 4)",col_based,16,16,1,1.0,1.0,0.00146,1,0.9873068099215109,0.9904934612512641,0.9973565182353875,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
2,7,1e-08,2,"(4, 4)",col_based,16,16,1,1.0,1.0,0.00146,1,0.9873788860019962,0.9904934612512641,0.9974293279718934,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
3,7,1e-08,2,"(4, 4)",col_based,16,16,1,1.0,1.0,0.00146,1,0.9874365506548256,0.9904934612512641,0.9974875795881015,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
4,7,1e-08,2,"(4, 4)",col_based,16,16,1,1.0,1.0,0.00146,1,0.9873817691546574,0.9904934612512641,0.9974322404719095,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
0,7,1e-08,2,"(4, 4)",col_based,16,16,2,1.0,1.0,0.00146,1,0.9873601457149053,0.9904934612512641,0.9974103969290848,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
1,7,1e-08,2,"(4, 4)",col_based,16,16,2,1.0,1.0,0.00146,1,0.9873068099215109,0.9904934612512641,0.9973565182353875,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
2,7,1e-08,2,"(4, 4)",col_based,16,16,2,1.0,1.0,0.00146,1,0.9873788860019962,0.9904934612512641,0.9974293279718934,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
3,7,1e-08,2,"(4, 4)",col_based,16,16,2,1.0,1.0,0.00146,1,0.9874365506548256,0.9904934612512641,0.9974875795881015,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
4,7,1e-08,2,"(4, 4)",col_based,16,16,2,1.0,1.0,0.00146,1,0.9873817691546574,0.9904934612512641,0.9974322404719095,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
0,7,1e-08,2,"(4, 4)",col_based,16,16,3,1.0,1.0,0.00146,1,0.9873601457149053,0.9904934612512641,0.9974103969290848,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
1,7,1e-08,2,"(4, 4)",col_based,16,16,3,1.0,1.0,0.00146,1,0.9873068099215109,0.9904934612512641,0.9973565182353875,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
2,7,1e-08,2,"(4, 4)",col_based,16,16,3,1.0,1.0,0.00146,1,0.9873788860019962,0.9904934612512641,0.9974293279718934,0.9998532107452333,0.9999681605065687,0.9996160731427869,0.9999872000793593
