figure,setting_index,distance,fidelity_target,factory_physical_size,metric_mode,trial,seed,n_qubits,k_t_per_qubit,layers_parallel,ratio,n_factories,makespan,metric_value
fig1,0,7,1e-08,2,cycles_per_t,0,1000,1,10,False,,1,281.5,28.15
fig1,0,7,1e-08,2,cycles_per_t,1,1001,1,10,False,,1,280.0,28.0
fig1,0,7,1e-08,2,cycles_per_t,2,1002,1,10,False,,1,442.0,44.2
fig1,0,7,1e-08,2,cycles_per_t,3,1003,1,10,False,,1,346.5,34.65
fig1,0,7,1e-08,2,cycles_per_t,4,1004,1,10,False,,1,444.0,44.4
fig1,0,7,1e-08,2,cycles_per_t,5,1005,1,10,False,,1,370.0,37.0
fig1,0,7,1e-08,2,cycles_per_t,6,1006,1,10,False,,1,394.0,39.4
fig1,0,7,1e-08,2,cycles_per_t,7,1007,1,10,False,,1,554.5,55.45
fig1,0,7,1e-08,2,cycles_per_t,8,1008,1,10,False,,1,306.0,30.6
fig1,0,7,1e-08,2,cycles_per_t,9,1009,1,10,False,,1,340.5,34.05
fig1,0,7,1e-08,2,cycles_per_t,0,2000,1,10,False,,2,128.5,25.7
fig1,0,7,1e-08,2,cycles_per_t,1,2001,1,10,False,,2,284.0,56.8
fig1,0,7,1e-08,2,cycles_per_t,2,2002,1,10,False,,2,203.5,40.7
fig1,0,7,1e-08,2,cycles_per_t,3,2003,1,10,False,,2,255.5,51.1
fig1,0,7,1e-08,2,cycles_per_t,4,2004,1,10,False,,2,232.0,46.4
fig1,0,7,1e-08,2,cycles_per_t,5,2005,1,10,False,,2,256.0,51.2
fig1,0,7,1e-08,2,cycles_per_t,6,2006,1,10,False,,2,344.0,68.8
fig1,0,7,1e-08,2,cycles_per_t,7,2007,1,10,False,,2,141.5,28.3
fig1,0,7,1e-08,2,cycles_per_t,8,2008,1,10,False,,2,206.5,41.3
fig1,0,7,1e-08,2,cycles_per_t,9,2009,1,10,False,,2,140.0,28.0
fig1,0,7,1e-08,2,cycles_per_t,0,3000,1,10,False,,3,116.0,34.8
fig1,0,7,1e-08,2,cycles_per_t,1,3001,1,10,False,,3,156.0,46.8
fig1,0,7,1e-08,2,cycles_per_t,2,3002,1,10,False,,3,131.0,39.3
fig1,0,7,1e-08,2,cycles_per_t,3,3003,1,10,False,,3,197.5,59.25
fig1,0,7,1e-08,2,cycles_per_t,4,3004,1,10,False,,3,160.5,48.15
fig1,0,7,1e-08,2,cycles_per_t,5,3005,1,10,False,,3,120.5,36.15
fig1,0,7,1e-08,2,cycles_per_t,6,3006,1,10,False,,3,185.5,55.65
fig1,0,7,1e-08,2,cycles_per_t,7,3007,1,10,False,,3,184.0,55.2
fig1,0,7,1e-08,2,cycles_per_t,8,3008,1,10,False,,3,107.0,32.1
fig1,0,7,1e-08,2,cycles_per_t,9,3009,1,10,False,,3,171.0,51.3
fig1,0,7,1e-08,2,cycles_per_t,0,4000,1,10,False,,4,125.0,50.0
fig1,0,7,1e-08,2,cycles_per_t,1,4001,1,10,False,,4,105.5,42.2
fig1,0,7,1e-08,2,cycles_per_t,2,4002,1,10,False,,4,136.0,54.4
fig1,0,7,1e-08,2,cycles_per_t,3,4003,1,10,False,,4,105.0,42.0
fig1,0,7,1e-08,2,cycles_per_t,4,4004,1,10,False,,4,149.5,59.8
fig1,0,7,1e-08,2,cycles_per_t,5,4005,1,10,False,,4,95.5,38.2
fig1,0,7,1e-08,2,cycles_per_t,6,4006,1,10,False,,4,145.5,58.2
fig1,0,7,1e-08,2,cycles_per_t,7,4007,1,10,False,,4,119.5,47.8
fig1,0,7,1e-08,2,cycles_per_t,8,4008,1,10,False,,4,120.5,48.2
